File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
malloc.o,51.272392%,26132,372,340,12,20,26112
heap_4.o,40.245647%,20512,880,848,0,32,20480
startup_stm32f103xe.o,3.013715%,1536,368,64,304,0,1536
usart.o,2.538898%,1294,628,620,0,8,1286
tasks.o,0.949634%,484,3994,3930,0,64,420
sdio_sdcard.o,0.321777%,164,793,632,161,0,164
dma.o,0.266839%,136,188,188,0,0,136
c_w.l,0.188357%,96,8285,7734,551,0,96
libspace.o,0.188357%,96,8,8,0,0,96
lcd.o,0.184433%,94,13826,7738,6080,8,86
btim.o,0.143230%,73,225,224,0,1,72
queue.o,0.125571%,64,2504,2504,0,0,64
timers.o,0.117723%,60,1464,1444,0,20,40
lsens.o,0.094179%,48,436,436,0,0,48
freertos_app.o,0.094179%,48,794,746,0,48,0
rtc.o,0.062786%,32,1308,1306,0,2,30
lsens_app.o,0.031393%,16,180,180,0,0,16
port.o,0.023545%,12,1194,1182,0,12,0
debug_app.o,0.023545%,12,88,76,0,12,0
date_read_app.o,0.021583%,11,109,108,0,1,10
radar_app_1.o,0.019621%,10,298,288,0,10,0
stm32f1xx_hal.o,0.017658%,9,203,194,0,9,0
run_log_app.o,0.015696%,8,664,656,0,8,0
ff.o,0.011772%,6,5944,5928,10,6,0
system_stm32f1xx.o,0.007848%,4,30,2,24,4,0
exfuns.o,0.007848%,4,68,64,0,4,0
delay.o,0.003924%,2,198,196,0,2,0
waring_sound_app.o,0.001962%,1,139,138,0,1,0
led_app.o,0.001962%,1,149,148,0,1,0
key_app.o,0.001962%,1,37,36,0,1,0
key.o,0.001962%,1,345,344,0,1,0
